preprocessing,embeddings,acc,micro_p,micro_r,micro_f1,macro_f1
[],,0.8082443871917556,0.8335456475583864,0.8674326115775519,0.8501515807708966,0.7036539465442958
[],deps,0.7997791682002209,0.8531905399375279,0.8448961555457357,0.8490230905861457,0.6967273765030848
[],pos_tags,0.798306956201693,0.8443956043956043,0.8488731771984092,0.8466284706919347,0.6948760637471308
[],pos_tags deps,0.7846889952153109,0.8331854480922803,0.8298718515245249,0.8315253486827541,0.6884497051851107
[],sk,0.7651821862348178,0.788696752425137,0.8263367211665931,0.8070781182563659,0.7091940578315253
[],sk  deps,0.7839528892160471,0.8215223097112858,0.8298718515245249,0.8256759727412618,0.7290765277566078
[],sk pos_tags,0.7791682002208318,0.817824377457405,0.8272205037560759,0.8224956063268892,0.7301504971087996
[],sk pos_tags deps,0.7534044902465955,0.7740483012689316,0.8356164383561644,0.8036549086272844,0.7110284750888326
[],position,0.7997791682002209,0.8479221927497791,0.8475475033141847,0.8477348066298342,0.6966900187341102
[],position   deps,0.791682002208318,0.8534365043240782,0.8285461776403005,0.8408071748878923,0.6973197432698771
[],position  pos_tags,0.7994111152005889,0.8504464285714286,0.8418029164825453,0.8461025982678215,0.7039724924491872
[],position  pos_tags deps,0.8078763341921237,0.8326289095519864,0.8705258506407424,0.8511557571829769,0.7169599999189009
[],position sk,0.7758557232241443,0.8269834155087404,0.8152894387980557,0.8210947930574098,0.7239112385443863
[],position sk  deps,0.7486198012513802,0.7674703718839395,0.8298718515245249,0.7974522292993631,0.7028820718182593
[],position sk pos_tags,0.7515642252484358,0.7665857605177994,0.8373840035351303,0.8004223864836325,0.7048125782747439
[],position sk pos_tags deps,0.7622377622377622,0.8432483474976393,0.7892178524083076,0.8153389637069163,0.6969287424626661
['sw'],,0.7449392712550608,0.7738095238095238,0.8042421564295184,0.7887323943661971,0.6520843489695479
['sw'],deps,0.6974604343025396,0.7773620205799813,0.7344233318603623,0.7552828902522153,0.6162298110494728
['sw'],pos_tags,0.7272727272727273,0.7838811346240432,0.7693327441449404,0.7765388046387154,0.6418255146636224
['sw'],pos_tags deps,0.7434670592565329,0.785022026431718,0.7874502872293416,0.7862342819324951,0.6478376104792607
['sw'],sk,0.6889952153110048,0.7301173402868318,0.7423773751657092,0.7361963190184051,0.6377332840719575
['sw'],sk  deps,0.7239602502760397,0.7674933569530558,0.7657976137870084,0.7666445476664455,0.6742049296954407
['sw'],sk pos_tags,0.7283768862716231,0.7678414096916301,0.7702165267344233,0.7690271343481138,0.6731975855795702
['sw'],sk pos_tags deps,0.7044534412955465,0.7269342159702109,0.7764030048608043,0.7508547008547009,0.6472803627295687
['sw'],position,0.6779536253220464,0.7783227072094164,0.7012814847547504,0.7377963737796374,0.5936850701497616
['sw'],position   deps,0.7445712182554288,0.7792773182411842,0.7909854175872735,0.7850877192982455,0.6493170209701473
['sw'],position  pos_tags,0.7453073242546927,0.7813588850174216,0.7927529827662395,0.7870146962053081,0.6525172907979148
['sw'],position  pos_tags deps,0.7368421052631579,0.7599164926931107,0.8042421564295184,0.7814512666380422,0.6438743894122453
['sw'],position sk,0.7191755612808245,0.7634027470093044,0.7613787008395935,0.7623893805309735,0.666737577466915
['sw'],position sk  deps,0.6930437983069562,0.7089430894308943,0.7706584180291648,0.7385136565742113,0.6379850932402233
['sw'],position sk pos_tags,0.7022451232977549,0.7220156959933912,0.7724259832081308,0.7463706233988044,0.6493678937385383
['sw'],position sk pos_tags deps,0.715495031284505,0.7784431137724551,0.7467962881131242,0.7622913847541724,0.6507684601673499
['d'],,0.7990430622009569,0.8316916488222698,0.8581528943879806,0.8447150935189213,0.6970264210171884
['d'],deps,0.7949944792050055,0.8463576158940397,0.8471056120194432,0.8467314487632508,0.6953449242871385
['d'],pos_tags,0.7946264262053736,0.8472468916518651,0.8431285903667698,0.8451827242524919,0.6936669099949259
['d'],pos_tags deps,0.7927861612072138,0.8440571939231457,0.8347326557666814,0.8393690291046435,0.6961009233933947
['d'],sk,0.7644460802355539,0.7901653242899533,0.8236853733981441,0.8065772392903506,0.7085997557216078
['d'],sk  deps,0.7707029812292969,0.8145869947275922,0.8192664604507292,0.8169200264375412,0.719252308670896
['d'],sk pos_tags,0.7780640412219358,0.8265895953757225,0.8214759169244366,0.8240248226950354,0.7188108289448769
['d'],sk pos_tags deps,0.7552447552447552,0.7734311328443357,0.8387096774193549,0.804748781004876,0.7058929945892108
['d'],position,0.7949944792050055,0.8536147283340817,0.8400353513035793,0.8467706013363029,0.6944615999459873
['d'],position   deps,0.8016194331983806,0.8466960352422908,0.8493150684931506,0.8480035296712993,0.7052890317843933
['d'],position  pos_tags,0.791682002208318,0.8364197530864198,0.8382677861246134,0.8373427499448246,0.6914365274267859
['d'],position  pos_tags deps,0.8012513801987486,0.8383751080380294,0.8572691117984975,0.8477168450950404,0.7162715007135969
['d'],position sk,0.7740154582259845,0.8135444151275286,0.8174988952717631,0.8155168613621336,0.7080334063146915
['d'],position sk  deps,0.7541405962458594,0.7685147713476326,0.8391515687140964,0.8022813688212929,0.704481903565097
['d'],position sk pos_tags,0.7478836952521163,0.7657841140529531,0.830755634114008,0.7969478592623993,0.7000633539102129
['d'],position sk pos_tags deps,0.7633419212366581,0.8464473056747734,0.7843570481661511,0.8142201834862386,0.6923313770808059
['b'],,0.8082443871917556,0.8335456475583864,0.8674326115775519,0.8501515807708966,0.7036539465442958
['b'],deps,0.7997791682002209,0.8531905399375279,0.8448961555457357,0.8490230905861457,0.6967273765030848
['b'],pos_tags,0.798306956201693,0.8443956043956043,0.8488731771984092,0.8466284706919347,0.6948760637471308
['b'],pos_tags deps,0.7846889952153109,0.8331854480922803,0.8298718515245249,0.8315253486827541,0.6884497051851107
['b'],sk,0.7651821862348178,0.788696752425137,0.8263367211665931,0.8070781182563659,0.7091940578315253
['b'],sk  deps,0.7839528892160471,0.8215223097112858,0.8298718515245249,0.8256759727412618,0.7290765277566078
['b'],sk pos_tags,0.7791682002208318,0.817824377457405,0.8272205037560759,0.8224956063268892,0.7301504971087996
['b'],sk pos_tags deps,0.7534044902465955,0.7740483012689316,0.8356164383561644,0.8036549086272844,0.7110284750888326
['b'],position,0.7997791682002209,0.8479221927497791,0.8475475033141847,0.8477348066298342,0.6966900187341102
['b'],position   deps,0.791682002208318,0.8534365043240782,0.8285461776403005,0.8408071748878923,0.6973197432698771
['b'],position  pos_tags,0.7994111152005889,0.8504464285714286,0.8418029164825453,0.8461025982678215,0.7039724924491872
['b'],position  pos_tags deps,0.8078763341921237,0.8326289095519864,0.8705258506407424,0.8511557571829769,0.7169599999189009
['b'],position sk,0.7758557232241443,0.8269834155087404,0.8152894387980557,0.8210947930574098,0.7239112385443863
['b'],position sk  deps,0.7486198012513802,0.7674703718839395,0.8298718515245249,0.7974522292993631,0.7028820718182593
['b'],position sk pos_tags,0.7515642252484358,0.7665857605177994,0.8373840035351303,0.8004223864836325,0.7048125782747439
['b'],position sk pos_tags deps,0.7622377622377622,0.8432483474976393,0.7892178524083076,0.8153389637069163,0.6969287424626661
['p'],,0.7964666912035333,0.8187526161573879,0.8643393725143614,0.8409286328460877,0.6914560410343477
['p'],deps,0.7994111152005889,0.8571428571428571,0.8457799381352188,0.8514234875444839,0.7001287494779044
['p'],pos_tags,0.7909458962090541,0.8462566844919787,0.8391515687140964,0.8426891502107832,0.6918872107501883
['p'],pos_tags deps,0.7994111152005889,0.8504007123775601,0.8440123729562528,0.8471944998891107,0.7013263229032379
['p'],sk,0.7615016562384983,0.7802243456584961,0.8298718515245249,0.8042826552462526,0.7096839919550321
['p'],sk  deps,0.7795362532204637,0.8214285714285714,0.8232434821034026,0.8223350253807107,0.7276346907523816
['p'],sk pos_tags,0.7799043062200957,0.8239716939407342,0.8232434821034026,0.823607427055703,0.7177139587441376
['p'],sk pos_tags deps,0.7592933382407067,0.779103249691485,0.8369421122403888,0.8069876438005964,0.7192670866315126
['p'],position,0.7960986382039014,0.8530594015185351,0.8440123729562528,0.8485117725455354,0.6965715555994659
['p'],position   deps,0.7972027972027972,0.8453699601240585,0.8431285903667698,0.8442477876106195,0.6977888863521204
['p'],position  pos_tags,0.7975708502024291,0.8501556247220987,0.8448961555457357,0.8475177304964541,0.7008701040148352
['p'],position  pos_tags deps,0.7979389032020611,0.8195488721804511,0.8669907202828104,0.8426025338200558,0.7016882520120646
['p'],position sk,0.7839528892160471,0.8237615081104779,0.8303137428192665,0.8270246478873241,0.7213565807622766
['p'],position sk  deps,0.7534044902465955,0.771801140994295,0.8369421122403888,0.8030527877888488,0.7124611367506298
['p'],position sk pos_tags,0.7545086492454913,0.7749077490774908,0.8351745470614229,0.8039132284134411,0.7092815875800266
['p'],position sk pos_tags deps,0.7589252852410747,0.8379017013232514,0.7834732655766682,0.8097739209865266,0.6952977159689019
['eb'],,0.7368421052631579,0.7835981107771576,0.8064516129032258,0.7948606271777003,0.6394303624725862
['eb'],deps,0.7276407802723592,0.7904804270462633,0.7852408307556341,0.7878519175349147,0.6282925528983775
['eb'],pos_tags,0.7224880382775121,0.7917042380522994,0.7759611135660628,0.7837536264226735,0.6303000487600601
['eb'],pos_tags deps,0.7302171512697828,0.7794496990541703,0.8011489173663279,0.7901503595554588,0.6339104714611674
['eb'],sk,0.7305852042694148,0.757700205338809,0.8152894387980557,0.78544061302682,0.6447508960394587
['eb'],sk  deps,0.7059256532940743,0.7742512293249888,0.7653557224922669,0.7697777777777778,0.6375824826674917
['eb'],sk pos_tags,0.7040853882959146,0.7756294964028777,0.7622624834290764,0.7688878983730778,0.6346060908139391
['eb'],sk pos_tags deps,0.7261685682738315,0.7536525974025974,0.8205921343349536,0.7856991749524009,0.6469669096697185
['eb'],position,0.7165991902834008,0.7865523465703971,0.7702165267344233,0.7782987273945077,0.6227796249445962
['eb'],position   deps,0.7375782112624217,0.7758913412563667,0.8077772867874503,0.7915133145702533,0.6361138521646045
['eb'],position  pos_tags,0.7169672432830327,0.7638533674339301,0.7918692001767565,0.7776090258190497,0.6169079870373879
['eb'],position  pos_tags deps,0.7217519322782481,0.7533853098071399,0.8113124171453823,0.7812765957446809,0.6215849023341498
['eb'],position sk,0.715495031284505,0.7831111111111111,0.7786124613345117,0.7808553068912032,0.6501488783440507
['eb'],position sk  deps,0.7276407802723592,0.7485029940119761,0.8285461776403005,0.7864932885906041,0.6507825379730438
['eb'],position sk pos_tags,0.7287449392712549,0.7532310177705978,0.8241272646928856,0.7870858830976999,0.6485693795856761
['eb'],position sk pos_tags deps,0.7177033492822966,0.7846501128668172,0.7680070702607159,0.7762393925859759,0.6294241027063426
['nb'],,0.7375782112624217,0.7926775474194971,0.7940786566504641,0.7933774834437085,0.6223014684422894
['nb'],deps,0.7213838792786161,0.7779249448123621,0.7786124613345117,0.7782685512367491,0.6256404689704771
['nb'],pos_tags,0.7191755612808245,0.7878513145965549,0.7680070702607159,0.7778026404117252,0.62381725966127
['nb'],pos_tags deps,0.729112992270887,0.7791251624079688,0.794962439239947,0.7869641294838146,0.6269276523435433
